
-------------------------------------------------------------------------------------------------
Iniciando inserción de jornada
-------------------------------------------------------------------------------------------------
Partido 4440752 ya procesado anteriormente. Liga: 4, Jornada: 9, Local: 70, Visitante: 63
Partido 4440746 ya procesado anteriormente. Liga: 4, Jornada: 9, Local: 73, Visitante: 74
Partido 4440748 ya procesado anteriormente. Liga: 4, Jornada: 9, Local: 67, Visitante: 75
Partido 4440753 ya procesado anteriormente. Liga: 4, Jornada: 9, Local: 64, Visitante: 76
Partido 4440754 ya procesado anteriormente. Liga: 4, Jornada: 9, Local: 65, Visitante: 71
Partido 4440747 ya procesado anteriormente. Liga: 4, Jornada: 9, Local: 72, Visitante: 69
Partido 4440751 ya procesado anteriormente. Liga: 4, Jornada: 9, Local: 62, Visitante: 57
Partido 4440750 ya procesado anteriormente. Liga: 4, Jornada: 9, Local: 68, Visitante: 58
Partido 4440749 ya procesado anteriormente. Liga: 4, Jornada: 9, Local: 66, Visitante: 59
Partido 4437363 ya procesado anteriormente. Liga: 2, Jornada: 9, Local: 48, Visitante: 52
Partido 4437364 ya procesado anteriormente. Liga: 2, Jornada: 9, Local: 60, Visitante: 53
Partido 4437365 ya procesado anteriormente. Liga: 2, Jornada: 9, Local: 38, Visitante: 56
Partido 4437362 ya procesado anteriormente. Liga: 2, Jornada: 9, Local: 43, Visitante: 42
Partido 4437359 ya procesado anteriormente. Liga: 2, Jornada: 9, Local: 49, Visitante: 54
Partido 4437358 ya procesado anteriormente. Liga: 2, Jornada: 9, Local: 55, Visitante: 47
Partido 4437361 ya procesado anteriormente. Liga: 2, Jornada: 9, Local: 44, Visitante: 46
Partido 4437360 ya procesado anteriormente. Liga: 2, Jornada: 9, Local: 50, Visitante: 45
Partido 4479266 ya procesado anteriormente. Liga: 6, Jornada: 9, Local: 95, Visitante: 87
Partido 4479263 ya procesado anteriormente. Liga: 6, Jornada: 9, Local: 84, Visitante: 91
Partido 4479264 ya procesado anteriormente. Liga: 6, Jornada: 9, Local: 86, Visitante: 78
Partido 4479268 ya procesado anteriormente. Liga: 6, Jornada: 9, Local: 85, Visitante: 88
Partido 4479265 ya procesado anteriormente. Liga: 6, Jornada: 9, Local: 79, Visitante: 94
Partido 4479269 ya procesado anteriormente. Liga: 6, Jornada: 9, Local: 80, Visitante: 77
Partido 4479271 ya procesado anteriormente. Liga: 6, Jornada: 9, Local: 83, Visitante: 89
Partido 4479267 ya procesado anteriormente. Liga: 6, Jornada: 9, Local: 97, Visitante: 82
Partido 4479270 ya procesado anteriormente. Liga: 6, Jornada: 9, Local: 81, Visitante: 92
Partido 4429880 ya procesado anteriormente. Liga: 5, Jornada: 9, Local: 100, Visitante: 105
Partido 4429885 ya procesado anteriormente. Liga: 5, Jornada: 9, Local: 113, Visitante: 104
Partido 4429881 ya procesado anteriormente. Liga: 5, Jornada: 9, Local: 99, Visitante: 90
Partido 4429884 ya procesado anteriormente. Liga: 5, Jornada: 9, Local: 93, Visitante: 107
Partido 4429883 ya procesado anteriormente. Liga: 5, Jornada: 9, Local: 111, Visitante: 102
Partido 4429877 ya procesado anteriormente. Liga: 5, Jornada: 9, Local: 108, Visitante: 101
Partido 4429879 ya procesado anteriormente. Liga: 5, Jornada: 9, Local: 96, Visitante: 112
Partido 4429882 ya procesado anteriormente. Liga: 5, Jornada: 9, Local: 103, Visitante: 106
Partido 4428537 ya procesado anteriormente. Liga: 3, Jornada: 9, Local: 33, Visitante: 31
Partido 4429878 ya procesado anteriormente. Liga: 5, Jornada: 9, Local: 109, Visitante: 98
Partido 4428540 ya procesado anteriormente. Liga: 3, Jornada: 9, Local: 40, Visitante: 39
Partido 4428539 ya procesado anteriormente. Liga: 3, Jornada: 9, Local: 24, Visitante: 20
Partido 4428543 ya procesado anteriormente. Liga: 3, Jornada: 9, Local: 27, Visitante: 29
Partido 4428544 ya procesado anteriormente. Liga: 3, Jornada: 9, Local: 34, Visitante: 26
Partido 4428538 ya procesado anteriormente. Liga: 3, Jornada: 9, Local: 36, Visitante: 28
Partido 4428536 ya procesado anteriormente. Liga: 3, Jornada: 9, Local: 32, Visitante: 22
Partido 4428542 ya procesado anteriormente. Liga: 3, Jornada: 9, Local: 41, Visitante: 30
Partido 4428541 ya procesado anteriormente. Liga: 3, Jornada: 9, Local: 35, Visitante: 23
Partido 4428535 ya procesado anteriormente. Liga: 3, Jornada: 9, Local: 25, Visitante: 37
Partido 4479535 ya procesado anteriormente. Liga: 7, Jornada: 9, Local: 123, Visitante: 130
Partido 4479538 ya procesado anteriormente. Liga: 7, Jornada: 9, Local: 110, Visitante: 116
Partido 4479541 ya procesado anteriormente. Liga: 7, Jornada: 9, Local: 124, Visitante: 114
Partido 4479540 ya procesado anteriormente. Liga: 7, Jornada: 9, Local: 120, Visitante: 119
Partido 4479537 ya procesado anteriormente. Liga: 7, Jornada: 9, Local: 122, Visitante: 128
Partido 4479539 ya procesado anteriormente. Liga: 7, Jornada: 9, Local: 125, Visitante: 117
Partido 4479543 ya procesado anteriormente. Liga: 7, Jornada: 9, Local: 126, Visitante: 118
Partido 4479542 ya procesado anteriormente. Liga: 7, Jornada: 9, Local: 121, Visitante: 115
Partido 4428229 ya procesado anteriormente. Liga: 1, Jornada: 9, Local: 15, Visitante: 13
Partido 4479536 ya procesado anteriormente. Liga: 7, Jornada: 9, Local: 127, Visitante: 129
